;id_convocatoria;ano_convo;nme_clase_pd;nme_tipo_medicion_pd;nme_tipologia_pd;id_tipo_pd_med;nme_categoria_pd;fcreacion_pd;nme_producto_pd;cod_grupo_gr;nme_grupo_gr;id_persona_pd;nro_convocatoria;ano_convocatoria;First;Last
0;16;20131031000000000;formación de recurso humano;formación de recursos humano tipo b;apoyo de programas;ap-ap_b;apoyo de programas con calidad b;20111001000000000;maestría en investigación en problemas sociales co;col0016283;socialización y violencia;0;640;2013;ap;3
1;16;20131031000000000;nuevo conocimiento;nuevo conocimiento tipo b;artículos de investigación;art-art_d;artículos de investigación con calidad d;20101001000000000;la moral de la crueldad;col0016283;socialización y violencia;45012;640;2013;art;144
2;16;20131031000000000;nuevo conocimiento;nuevo conocimiento tipo b;artículos de investigación;art-art_d;artículos de investigación con calidad d;20121001000000000;la ilusión llamada páramo de rabanal;col0016283;socialización y violencia;45012;640;2013;art;148
3;16;20131031000000000;nuevo conocimiento;nuevo conocimiento tipo b;artículos de investigación;art-art_d;artículos de investigación con calidad d;20130401000000000;a la memoria de guillermo hoyos vásquez;col0016283;socialización y violencia;45012;640;2013;art;184
4;16;20131031000000000;nuevo conocimiento;nuevo conocimiento tipo b;artículos de investigación;art-art_d;artículos de investigación con calidad d;20090401000000000;aspectos del devenir militante del revolucionario colombiano durante los setenta;col0016283;socialización y violencia;45012;640;2013;art;85
5;16;20131031000000000;nuevo conocimiento;nuevo conocimiento tipo b;artículos de investigación;art-art_d;artículos de investigación con calidad d;20091001000000000;el mundo enigmático de la moral:una hermenéutica sobre el saber alrededor de la guerra en colombia;col0016283;socialización y violencia;45012;640;2013;art;86
6;16;20131031000000000;nuevo conocimiento;apropiación social del conocimiento;capítulos de libro;cap_lib-gc_cap_lib;capítulos de libro de generación de contenido;20101201000000000;revolucionarios, pastores y místicos:militancia y subjetividad;col0016283;socialización y violencia;45012;640;2013;cap_lib;147
7;16;20131031000000000;nuevo conocimiento;apropiación social del conocimiento;capítulos de libro;cap_lib-gc_cap_lib;capítulos de libro de generación de contenido;20121101000000000;el reconocimiento cruel como técnica de subjetividad;col0016283;socialización y violencia;45012;640;2013;cap_lib;177
8;16;20131031000000000;nuevo conocimiento;apropiación social del conocimiento;capítulos de libro;cap_lib-gc_cap_lib;capítulos de libro de generación de contenido;20101201000000000;vínculos entre diferencia y subjetividad;col0016283;socialización y violencia;45012;640;2013;cap_lib;93
9;16;20131031000000000;apropiación social del conocimiento;apropiación social del conocimiento;evento científico;ec-ec_a;evento científico con calidad a;20110101000000000;seminario internacional rutas y encuentros de los estudios sociales y culturales;col0016283;socialización y violencia;45012;640;2013;ec;100
